代码,名称,市场,最新价,估算半年涨幅潜力%,技术面评分,综合评分,潜力逻辑,技术面逻辑,MA5,MA10,MA20,MA60,MACD_DIF,MACD_DEA,KDJ_K,KDJ_D,RSI,量比,20日涨幅%,布林上轨,布林中轨,布林下轨,支撑位,压力位,建议买入价,目标价(半年),止损价,优先等级
300054,鼎龙股份,创业板,71.07,80,15,54.0,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调36%，超跌反弹；缩量；KDJ超买,MACD金叉,71.46,69.39,69.76,75.04,-0.789,-1.474,75.05,67.95,58.14,0.98,-1.55,74.78,69.76,64.73,64.73,74.78,68.36,127.93,62.79,1
000962,东方钽业,深市主板,60.53,68,33,54.0,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调37%，超跌反弹；缩量；KDJ超买,短期多头；MACD金叉,60.13,56.59,55.59,55.77,1.59,0.62,85.5,77.85,61.73,0.99,15.69,62.65,55.59,48.53,48.53,62.65,54.48,101.69,47.07,1
300857,协创数据,创业板,273.35,63,40,53.8,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调20%，回调充分；缩量；KDJ超买,完美多头；MACD金叉,268.06,262.68,260.76,254.59,4.497,3.318,71.65,60.29,56.1,0.9,15.71,279.01,260.76,242.51,242.51,279.01,255.54,445.56,235.23,1
000338,潍柴动力,深市主板,27.03,73,25,53.8,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调16%；缩量；KDJ中位偏多,MACD金叉；KDJ金叉未超买,26.7,26.67,26.8,27.55,-0.342,-0.434,61.1,51.1,57.13,0.69,0.0,28.04,26.8,25.55,25.55,28.04,26.26,46.76,24.78,1
600367,红星发展,沪市主板,38.29,73,25,53.8,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调40%，超跌反弹；缩量；KDJ超买,站上60日线；MACD金叉,37.3,36.17,37.29,36.5,0.249,0.098,70.01,59.62,49.69,0.99,-2.17,41.71,37.29,32.87,32.87,41.71,36.55,66.24,31.88,1
300394,天孚通信,创业板,275.84,56,50,53.6,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；接近60日高点；缩量；KDJ中位偏多,完美多头；MACD金叉；KDJ金叉未超买,277.18,268.68,262.71,245.14,7.255,5.754,69.17,67.51,64.86,0.74,8.98,284.14,262.71,241.27,241.27,284.14,257.45,430.31,234.03,1
000823,超声电子,深市主板,25.22,56,50,53.6,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调11%；量能放大；KDJ超买,完美多头；MACD金叉；量比1.9,24.63,22.59,19.0,16.76,2.582,1.806,88.54,88.49,84.2,1.85,71.22,27.43,19.0,10.57,10.57,27.43,18.62,39.34,10.25,1
000070,特发信息,深市主板,18.63,56,50,53.6,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调11%；量能放大；KDJ超买,完美多头；MACD金叉；量比1.5,18.1,17.4,16.68,15.59,0.783,0.545,77.51,74.82,69.78,1.51,17.32,18.68,16.68,14.68,14.68,18.68,16.34,29.06,14.24,1
000100,TCL科技,深市主板,5.03,72,25,53.2,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调20%；量能温和；KDJ超买,站上60日线；MACD金叉,4.94,4.82,4.86,5.01,-0.007,-0.044,78.95,61.69,59.21,1.05,2.44,5.14,4.86,4.58,4.58,5.14,4.76,8.65,4.44,1
603127,昭衍新药,沪市主板,46.12,72,25,53.2,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调17%；量能温和；KDJ超买,站上60日线；MACD金叉,45.31,43.94,44.61,45.91,-0.465,-0.822,71.11,59.55,56.32,1.22,-1.68,48.45,44.61,40.77,40.77,48.45,43.72,79.33,39.55,1
603296,华勤技术,沪市主板,79.93,72,25,53.2,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调13%；量能温和；KDJ超买,站上60日线；MACD金叉,79.66,77.9,78.18,78.98,-0.009,-0.445,73.86,63.7,50.26,1.11,3.55,81.84,78.18,74.52,74.52,81.84,76.62,137.48,72.28,1
001389,广合科技,深市主板,198.65,53,53,53.0,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；较60日高点回调16%；放量启动；KDJ超买,短期多头；MACD金叉；量比3.6；突破20日新高,178.8,175.93,167.36,167.91,5.653,2.704,75.61,71.63,80.43,3.6,30.94,190.68,167.36,144.05,144.05,190.68,164.02,303.93,139.73,1
000002,万 科Ａ,深市主板,3.81,48,60,52.8,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；放量启动；KDJ超买,完美多头；MACD金叉；量比3.6；突破20日新高,3.37,3.23,3.2,3.17,0.077,0.011,71.8,50.08,77.04,3.62,21.73,3.6,3.2,2.79,2.79,3.6,3.13,5.64,2.71,1
301047,义翘神州,创业板,136.22,48,60,52.8,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；放量启动；KDJ超买,完美多头；MACD金叉；量比2.4；突破20日新高,114.97,106.51,102.0,91.68,5.22,2.26,81.44,70.79,80.04,2.37,28.16,123.33,102.0,80.67,80.67,123.33,99.96,201.61,78.25,1
301230,泓博医药,创业板,39.6,48,60,52.8,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；放量启动；KDJ超买,完美多头；MACD金叉；量比2.2；突破20日新高,35.25,32.43,31.68,30.93,1.089,0.128,79.1,64.23,76.03,2.15,20.73,37.67,31.68,25.7,25.7,37.67,31.05,58.61,24.93,1
000636,风华高科,深市主板,57.75,65,33,52.2,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调25%，回调充分；量能温和；KDJ超买,短期多头；MACD金叉,58.09,56.34,54.04,54.9,0.946,0.174,74.33,71.31,66.94,1.01,13.21,61.51,54.04,46.57,46.57,61.51,52.96,95.29,45.17,1
300672,国科微,创业板,203.18,65,33,52.2,略高于60日线；布林上轨附近；MACD零上金叉，趋势延续；较60日高点回调34%，超跌反弹；量能温和；KDJ超买,短期多头；MACD金叉,187.53,176.57,175.37,178.31,4.475,0.581,76.41,60.73,62.37,1.11,25.97,198.98,175.37,151.76,151.76,198.98,171.86,335.25,147.21,1
300395,菲利华,创业板,97.08,70,25,52.0,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调29%，回调充分；量能温和；KDJ中低位,站上60日线；MACD金叉,95.73,96.42,94.25,91.5,1.478,1.451,38.89,44.93,54.29,1.08,9.68,100.72,94.25,87.77,87.77,100.72,92.36,165.04,85.14,1
